age_upon_outcome,name,sex_upon_outcome,sex,spay/neuter,Periods,period_range,cat/kitten,age_group,outcome_weekday,breed1,cfa_breed,domestic_breed,coat_pattern,color1,color2,coat,outcome
1 month,0,Intact Female,Female,No,1,30,Kitten,"(-0.022, 2.2]",Sunday,domestic shorthair,False,True,tabby,brown,none,brown,Died-- In Foster
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,tabby,orange,none,orange,Adoption-- 
2 months,1,Intact Male,Male,No,2,30,Kitten,"(-0.022, 2.2]",Tuesday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
3 years,1,Spayed Female,Female,Yes,3,365,Cat,"(2.2, 4.4]",Saturday,domestic shorthair,False,True,torbie,Breed Specific,none,torbie,Return to Owner-- 
10 months,1,Neutered Male,Male,Yes,10,30,Cat,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,blue,none,blue,Transfer-- SCRP
1 weeks,0,Unknown,Female,Yes,1,7,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,tabby,brown,none,brown,Transfer-- Partner
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,blue,none,blue,Adoption-- 
7 months,1,Spayed Female,Female,Yes,7,30,Cat,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,missing,black,white,black,Adoption-- 
2 months,1,Neutered Male,Male,Yes,2,30,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,cream,none,cream,Adoption-- Foster
3 weeks,0,Intact Female,Female,No,3,7,Kitten,"(-0.022, 2.2]",Friday,domestic shorthair,False,True,tabby,blue,none,blue,Transfer-- Partner
1 month,0,Intact Male,Male,No,1,30,Kitten,"(-0.022, 2.2]",Thursday,domestic shorthair,False,True,missing,blue,none,blue,Return to Owner-- 
10 years,0,Neutered Male,Male,Yes,10,365,Cat,"(8.8, 11.0]",Friday,domestic shorthair,False,True,missing,black,none,black,Return to Owner-- 
3 months,0,Intact Female,Female,No,3,30,Kitten,"(-0.022, 2.2]",Monday,domestic shorthair,False,True,missing,black,none,black,Transfer-- Partner
