Rule,Entropy across targets,Length Following Antecedent,Majority Class
"[('Breed', 'Cairn Terrier')]",[1.18802293 1.18489582],186,['Adoption' 'none']
"[('Breed', 'Jack Russell Terrier Mix')]",[1.13619373 0.97323775],604,['Adoption' 'none']
"[('Breed', 'Labrador Retriever/Border Collie')]",[0.98868222 0.93732338],164,['Adoption' 'none']
"[('Breed', 'Chihuahua Longhair Mix')]",[1.140304   0.94926461],500,['Adoption' 'none']
"[('Breed', 'Miniature Poodle')]",[1.37259776 1.08845005],202,['Return to Owner' 'none']
"[('Breed', 'Papillon Mix')]",[1.08766305 0.88888889],65,['Adoption' 'none']
"[('Breed', 'Great Pyrenees')]",[1.25615604 1.21633133],437,['Adoption' 'none']
"[('Breed', 'American Pit Bull Terrier')]",[1.3345145 1.136875 ],227,['Adoption' 'none']
"[('Breed', 'Australian Shepherd')]",[1.08274355 0.85122237],144,['Adoption' 'none']
"[('Breed', 'Doberman Pinsch Mix')]",[1.27601354 1.03221863],203,['Adoption' 'none']
"[('Breed', 'Siberian Husky Mix')]",[1.12405413 0.8729366 ],865,['Adoption' 'none']
"[('Breed', 'Toy Poodle Mix')]",[1.19750034 0.84444201],113,['Return to Owner' 'none']
"[('Breed', 'Chihuahua Longhair')]",[1.08047686 0.92158738],141,['Adoption' 'none']
"[('Breed', 'Bichon Frise Mix')]",[1.18277079 0.93882008],74,['Return to Owner' 'none']
"[('Breed', 'Manchester Terrier Mix')]",[1.03662271 0.82907506],119,['Adoption' 'none']
"[('Breed', 'Australian Cattle Dog/German Shepherd')]",[0.80756356 0.76947281],58,['Adoption' 'none']
"[('Breed', 'Mastiff Mix')]",[1.26361577 0.9847053 ],155,['Adoption' 'none']
"[('Breed', 'Miniature Pinscher')]",[1.07044245 0.83651269],93,['Adoption' 'none']
"[('Breed', 'Skunk')]",[0.27242085 0.72990767],155,['Euthanasia' 'Rabies Risk']
"[('Breed', 'Fox')]",[0.38371882 1.02280857],123,['Euthanasia' 'Rabies Risk']
"[('Breed', 'German Shepherd/Labrador Retriever')]",[1.04139047 1.00457099],343,['Adoption' 'none']
"[('Breed', 'Golden Retriever Mix')]",[1.13713741 0.90238125],246,['Adoption' 'none']
